"deal_id","opportunity_id","deal_name","amount","closed_at"
"1","2","Deal with Tommy Evans","27975","2025-03-02 14:31:58.756597"
"2","8","Deal with Shannon Thomas","33193","2025-03-04 11:01:59.528381"
"3","11","Deal with Megan Munoz","48350","2025-02-24 12:22:58.306312"
"4","14","Deal with Brian Kemp","8195","2025-02-23 14:57:14.794928"
"5","15","Deal with Laura Henderson","11742","2025-02-28 08:01:35.793355"
"6","18","Deal with Christopher Waller","49189","2025-02-19 16:46:01.012878"
"7","19","Deal with Mrs. Ashley Campbell DVM","25129","2025-02-13 22:28:18.649522"
"8","21","Deal with Elizabeth Stewart","7800","2025-02-24 05:38:17.986063"
"9","22","Deal with Tammy Jenkins","15711","2025-03-01 15:49:23.886199"
"10","24","Deal with Julie Hubbard","8268","2025-03-05 12:54:26.208759"
"11","25","Deal with Susan Rodriguez","37984","2025-02-26 18:51:41.376637"
"12","31","Deal with Katherine Wilson","16773","2025-02-12 11:34:11.359332"
"13","34","Deal with Natalie Carlson","46540","2025-02-26 06:48:14.532184"
"14","35","Deal with Michael Hernandez","25131","2025-02-08 12:56:22.577259"
"15","37","Deal with Cynthia Hale","49863","2025-02-18 21:37:20.920822"
"16","41","Deal with Susan Woods","35549","2025-02-16 20:06:23.270267"
"17","48","Deal with Courtney Scott","43444","2025-02-24 22:23:23.847957"
"18","54","Deal with Frank Mcbride","25226","2025-02-26 23:59:53.924587"
"19","55","Deal with Courtney Reed","44134","2025-02-21 21:11:48.626175"
"20","56","Deal with Kathryn Trevino","19615","2025-02-15 12:28:12.484756"
"21","60","Deal with Clifford Smith","13718","2025-07-25 06:02:00.487497"
"22","63","Deal with Peter Cooke","35298","2025-07-10 06:26:45.567228"
"23","66","Deal with Kurt Larson","17123","2025-07-21 15:40:03.115984"
"24","75","Deal with Edward Johnson","42389","2025-06-26 06:12:53.090690"
"25","77","Deal with Phillip Cruz","40879","2025-07-19 22:50:44.555486"
"26","82","Deal with Deborah Whitney","39109","2025-07-23 05:15:19.239014"
"27","83","Deal with Michael Fisher","45619","2025-07-05 00:54:57.135271"
"28","88","Deal with Jennifer Rodriguez","29826","2025-07-14 03:23:49.306774"
"29","91","Deal with Jesse Alexander","43405","2025-06-27 01:37:38.128304"
"30","92","Deal with Kayla Singleton","31613","2025-08-13 02:05:52.262412"
"31","99","Deal with Michael Curtis","23707","2025-07-01 17:43:11.628698"
"32","101","Deal with Andrew Mclaughlin","7755","2025-06-27 20:16:59.830653"
"33","103","Deal with Kelsey Rivera","21720","2025-09-29 19:54:36.384560"
"34","105","Deal with Melanie Jenkins","5436","2025-06-13 00:46:16.248839"
"35","109","Deal with Travis Hampton","19541","2025-12-16 11:42:35.569097"
"36","110","Deal with Brandon Allen","19570","2025-08-16 08:10:35.458596"
"37","112","Deal with Cynthia Jordan","7383","2025-07-01 20:17:42.685049"
"38","117","Deal with Jamie Tucker","39878","2025-06-21 17:12:44.883234"
"39","118","Deal with Steven Moss","14628","2025-10-02 13:24:29.908967"
"40","125","Deal with Emily Fleming","15054","2025-06-23 00:22:37.778630"
"41","127","Deal with Kimberly Jackson","43636","2025-10-18 18:06:07.269371"
"42","128","Deal with Rebecca Montgomery","38626","2025-07-05 22:17:41.375946"
"43","132","Deal with Brian Morris","21869","2025-12-05 05:12:59.099911"
"44","135","Deal with Allison Moreno","6920","2025-11-09 21:13:46.323369"
"45","137","Deal with Tyler Sims","38448","2025-05-24 20:18:35.691836"
"46","138","Deal with Amy Patterson","28966","2025-12-05 17:46:00.030807"
"47","140","Deal with Joseph Stevens","35561","2025-06-22 11:11:25.363709"
"48","146","Deal with Mariah Ortiz","41775","2025-08-31 01:45:21.448713"
"49","148","Deal with Timothy Simpson","28829","2025-07-29 12:06:14.307269"
"50","152","Deal with Kimberly Mitchell","18149","2025-09-25 10:31:37.868139"
