"lead_id","campaign_id","lead_name","lead_email","created_at"
"1","1","Antonio Jackson","rogerlopez@example.com","2025-02-09 17:12:08.527533"
"2","1","Tommy Evans","heidi73@example.org","2025-02-07 14:31:58.756597"
"3","1","Debbie Johnston","jwheeler@example.org","2025-02-03 08:18:25.108842"
"4","1","Victoria Yoder","nmartinez@example.org","2025-02-13 08:15:05.079742"
"5","1","Rodney Smith","halljulie@example.org","2025-02-10 08:48:57.550910"
"6","1","Jennifer Cummings","hancocksabrina@example.com","2025-02-14 00:47:48.919972"
"7","1","Meredith Jones","ocox@example.org","2025-02-10 06:24:35.975141"
"8","1","Randall Tanner","susan60@example.com","2025-02-08 00:47:57.722744"
"9","1","Cindy Crawford","ffox@example.org","2025-02-10 10:56:15.270143"
"10","1","Jeffrey Rivers","asmith@example.org","2025-02-11 09:18:08.643043"
"11","1","Andre Sanchez","pwilson@example.com","2025-02-06 00:17:39.296536"
"12","1","James Blackwell","jordanwalsh@example.com","2025-02-08 11:53:46.056351"
"13","1","Deanna Martin","vmassey@example.com","2025-02-04 00:36:39.836436"
"14","1","Shannon Thomas","xpatrick@example.com","2025-02-08 11:01:59.528381"
"15","1","Adam Freeman","efisher@example.com","2025-02-08 19:03:55.520644"
"16","1","Jason Leon","michelle50@example.com","2025-02-11 12:18:42.751788"
"17","1","Heather Ross","nathan08@example.org","2025-02-11 15:38:56.967167"
"18","1","Megan Munoz","samantha17@example.org","2025-02-12 12:22:58.306312"
"19","1","Paula Parker","jacksonross@example.com","2025-02-12 23:40:33.425782"
"20","1","Ashley Burnett","gravesbrian@example.org","2025-02-05 04:30:43.491105"
"21","1","Miguel Bender","danny54@example.net","2025-02-12 22:32:54.939569"
"22","1","Emily Hoffman","denise70@example.net","2025-02-03 11:18:56.948914"
"23","1","Brooke Perez","courtneycalderon@example.net","2025-02-03 12:30:54.237267"
"24","1","Brian Kemp","brittanyyoung@example.net","2025-02-09 14:57:14.794928"
"25","1","Linda Young","yangdenise@example.org","2025-02-14 10:09:36.337824"
"26","1","Eric Pennington","alexanderdiane@example.com","2025-02-05 18:07:58.558389"
"27","1","Laura Henderson","kwalker@example.org","2025-02-11 08:01:35.793355"
"28","1","Bruce Price","ioneal@example.com","2025-02-03 15:30:59.284168"
"29","1","Maria Reed","raymondking@example.org","2025-02-12 19:34:40.391905"
"30","1","Christopher Waller","jason48@example.org","2025-02-12 16:46:01.012878"
"31","1","Mrs. Ashley Campbell DVM","omacias@example.com","2025-02-10 22:28:18.649522"
"32","1","Monica Downs","moorematthew@example.com","2025-02-12 14:18:27.980598"
"33","1","Jacob Williams","wlester@example.com","2025-02-04 10:42:32.127531"
