"opportunity_id","lead_id","opportunity_name","status","created_at"
"1","1","Opportunity for Antonio Jackson","Closed Lost","2025-02-18 17:12:08.527533"
"2","2","Opportunity for Tommy Evans","Closed Won","2025-02-16 14:31:58.756597"
"3","3","Opportunity for Debbie Johnston","Closed Lost","2025-02-07 08:18:25.108842"
"4","4","Opportunity for Victoria Yoder","Open","2025-02-17 08:15:05.079742"
"5","6","Opportunity for Jennifer Cummings","Closed Lost","2025-02-18 00:47:48.919972"
"6","7","Opportunity for Meredith Jones","Closed Lost","2025-02-14 06:24:35.975141"
"7","8","Opportunity for Randall Tanner","Open","2025-02-13 00:47:57.722744"
"8","14","Opportunity for Shannon Thomas","Closed Won","2025-02-15 11:01:59.528381"
"9","16","Opportunity for Jason Leon","Closed Lost","2025-02-17 12:18:42.751788"
"10","17","Opportunity for Heather Ross","Open","2025-02-15 15:38:56.967167"
"11","18","Opportunity for Megan Munoz","Closed Won","2025-02-22 12:22:58.306312"
"12","20","Opportunity for Ashley Burnett","Closed Lost","2025-02-10 04:30:43.491105"
"13","23","Opportunity for Brooke Perez","Open","2025-02-07 12:30:54.237267"
"14","24","Opportunity for Brian Kemp","Closed Won","2025-02-11 14:57:14.794928"
"15","27","Opportunity for Laura Henderson","Closed Won","2025-02-15 08:01:35.793355"
"16","28","Opportunity for Bruce Price","Open","2025-02-04 15:30:59.284168"
"17","29","Opportunity for Maria Reed","Closed Lost","2025-02-22 19:34:40.391905"
"18","30","Opportunity for Christopher Waller","Closed Won","2025-02-18 16:46:01.012878"
"19","31","Opportunity for Mrs. Ashley Campbell DVM","Closed Won","2025-02-11 22:28:18.649522"
"20","32","Opportunity for Monica Downs","Open","2025-02-19 14:18:27.980598"
"21","34","Opportunity for Elizabeth Stewart","Closed Won","2025-02-15 05:38:17.986063"
"22","35","Opportunity for Tammy Jenkins","Closed Won","2025-02-09 15:49:23.886199"
"23","38","Opportunity for Kelsey Haas","Open","2025-02-19 20:18:50.788226"
"24","41","Opportunity for Julie Hubbard","Closed Won","2025-02-14 12:54:26.208759"
"25","42","Opportunity for Susan Rodriguez","Closed Won","2025-02-17 18:51:41.376637"
"26","43","Opportunity for Bradley Miller","Open","2025-02-23 18:36:37.337672"
"27","44","Opportunity for Patricia Bennett","Open","2025-02-09 17:33:09.591626"
"28","46","Opportunity for Kyle Wells","Open","2025-02-24 08:27:58.654616"
"29","48","Opportunity for Shaun Collins","Closed Lost","2025-02-13 04:31:15.448789"
"30","49","Opportunity for Kimberly Meyer","Open","2025-02-15 11:51:08.340950"
"31","50","Opportunity for Katherine Wilson","Closed Won","2025-02-11 11:34:11.359332"
"32","52","Opportunity for Joel Wilkerson","Open","2025-02-16 09:20:52.058052"
"33","53","Opportunity for Nicholas Herring","Open","2025-02-07 09:24:49.625556"
"34","59","Opportunity for Natalie Carlson","Closed Won","2025-02-17 06:48:14.532184"
"35","63","Opportunity for Michael Hernandez","Closed Won","2025-02-07 12:56:22.577259"
"36","67","Opportunity for Nathan Scott","Closed Lost","2025-02-14 10:24:17.260573"
